sku,websites,store,has_options,brand,manufacturer,type,bundle_attributes,bundle_attribute_products,tax_class_id,attribute_set,config_attributes,news_from_date,category_ids,gallery,name,short_name,image,small_image,thumbnail,options_container,status,enable_googlecheckout,visibility,weight,length,width,height,shipping_length,shipping_width,shipping_height,capacity,warranty,short_description,description,description_specs,description_related,description_addon_title,qty,meta_title,meta_description,limited_stock_qty,is_in_stock,assort,upsell,crosssell,color,Size:drop_down:1,size,Wholesale,Normal,price,special_price,special_from_date,special_to_date,associated,Normal_Quantity_1,Normal_Price_1,Normal_Quantity_2,Normal_Price_2,Normal_Quantity_3,Normal_Price_3,Normal_Quantity_4,Normal_Price_4,Normal_Quantity_5,Normal_Price_5,mptp_cat_id,mptp_update_status,power_consumption,product_weight,compatible_products,MAP,child_attributes,child_attribute_options
ATI3017,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","60"" 8x80W SunPower T5 High-Output Fixture","60"" 8x80W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,35,58.5,17.5,2.1,63,22,8,130-320 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 60"" 8x80W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 60"" 8x80W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 640W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 160-320 gallons.<br />- Recommended Tank Length: 60-72"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 30"" with proper placement of corals.",,,,3,"60"" 8x80W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,526.95,699.95,699.95,,,,,3,513.95,,,,,,,,,ATIFIXTURES,,,34,,699.95,N/A to Child,N/A to Child
ATI3209,base,default,,ATI,ATI,simple,,,None,Default,,,"123,127,47,51",,T5 Socket for SunPower (Each),,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,"Catalog, Search",0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,"Compatible with ATI SunPower and ATI Dimmable SunPower. Sold individually, each bulb requires a quantity of 2.",ATI T5 Socket for SunPower. Compatible with ATI SunPower and ATI Dimmable SunPower. Sold individually.,,,,13,T5 Socket for SunPower (Each) by ATI,ATI T5 Socket for SunPower (Each). Compatible with ATI SunPower and ATI Dimmable SunPower. Sold individually.,10,1,,,,,,,1.45,1.95,1.95,,,,,,,,,,,,,,,,,,0.1,"ATI SunPower, ATI Dimmable SunPower",1.95,,
ATI-T5BALLAST,base,default,,ATI,ATI,grouped,,,None,Default,,,"172,173,127,51",,T5 High-Output Ballast,,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,Programmed start electronic ballast engineered for use with T5 bulbs. Compatible with SunPower and Powermodule.,ATI T5 High-Output Ballast. Programmed rapid start electronic ballast engineered specifically for use with two 54 watt T5 HO fluorescent bulbs. Designed to run bulbs at there recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power-cord included. Compatible with ATI Powermodule and ATI SunPower.,,,,,T5 High-Output Ballast by ATI,ATI T5 High-Output Ballast. Programmed rapid start electronic T5 ballast designed to run bulbs at the recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power cord included. Compatible with ATI Powermodule and ATI SunPower.,0,1,,,,,,,,,,,,,"ATI3211,ATI3213,ATI3215",,,,,,,,,,,,,,,,,,
ATI3211,base,default,,ATI,ATI,simple,,,None,Default,,,,,2x24W & 2x39W T5 High-Output Ballast,2x24W / 2x39W,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,1.5,14.1,1.2,1.1,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,ATI 2x24W &amp; 2x39W T5 High-Output Ballast. Programmed rapid start electronic ballast engineered specifically for use with two 24 watt or two 39 watt T5 HO fluorescent bulbs. Designed to run bulbs at there recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power-cord included. Compatible with ATI Powermodule and ATI SunPower.,,,,325,2x24W & 2x39W T5 High-Output Ballast by ATI,ATI 2x24W & 2x39W T5 High-Output Ballast. Programmed rapid start electronic T5 ballast designed to run bulbs at the recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power cord included. Compatible with ATI Powermodule and ATI SunPower.,5,1,,,,,,,26.95,39.95,39.95,,,,,,,,,,,,,,,,,,1,"ATI Powermodule, ATI SunPower",39.95,,
ATI3213,base,default,,ATI,ATI,simple,,,None,Default,,,,,2x54W T5 High-Output Ballast,2x54W,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,1.5,14.1,1.2,1.1,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,ATI 2x54W T5 High-Output Ballast. Programmed rapid start electronic ballast engineered specifically for use with two 54 watt T5 HO fluorescent bulbs. Designed to run bulbs at there recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power-cord included. Compatible with ATI Powermodule and ATI SunPower.,,,,85,2x54W T5 High-Output Ballast by ATI,ATI 2x54W T5 High-Output Ballast. Programmed rapid start electronic T5 ballast designed to run bulbs at the recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power cord included. Compatible with ATI Powermodule and ATI SunPower.,5,1,,,,,,,26.95,39.95,39.95,,,,,,,,,,,,,,,,,,1,"ATI Powermodule, ATI SunPower",39.95,,
ATI3215,base,default,,ATI,ATI,simple,,,None,Default,,,,,2x80W T5 High-Output Ballast,2x80W,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,1.5,16.8,1.2,1.1,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,ATI 2x80W T5 High-Output Ballast. Programmed rapid start electronic ballast engineered specifically for use with two 80 watt T5 HO fluorescent bulbs. Designed to run bulbs at there recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power-cord included. Compatible with ATI Powermodule and ATI SunPower.,,,,100,2x80W T5 High-Output Ballast by ATI,ATI 2x80W T5 High-Output Ballast. Programmed rapid start electronic T5 ballast designed to run bulbs at the recommend wattage. Will not overdrive the bulbs. Bare ballast only; no wiring or power cord included. Compatible with ATI Powermodule and ATI SunPower.,5,1,,,,,,,39.95,53.95,53.95,,,,,,,,,,,,,,,,,,1.2,"ATI Powermodule, ATI SunPower",53.95,,
ATI-SPENDPLATES,base,default,,ATI,ATI,grouped,,,None,Default,,,"123,127,47,51",,"End-Plates for SunPower, Set of 2",,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,ATI Endplates for SunPower (Set of 2). 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,,,,,"End-Plates for SunPower, Set of 2 by ATI",ATI End-Plates for SunPower. 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,0,1,,,,,,,,,,,,,"ATI3217,ATI3219,ATI3220",,,,,,,,,,,,,,,,,,
ATI3217,base,default,,ATI,ATI,simple,,,None,Default,,,,,"End-Plates for 4-bulb SunPower, Set of 2",4-bulb Fixture,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,ATI Endplates for 4-Bulb SunPower (Set of 2). 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,,,,4,"End-Plates for 4-bulb SunPower, Set of 2 by ATI",ATI End-Plates for 4-bulb SunPower. 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,2,1,,,,,,,16.95,22.95,22.95,,,,,,,,,,,,,,,,,,0.2,"ATI SunPower, ATI Dimmable SunPower",22.95,,
ATI3219,base,default,,ATI,ATI,simple,,,None,Default,,,,,"End-Plates for 6-bulb SunPower, Set of 2",6-bulb Fixture,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,ATI Endplates for 6-Bulb SunPower (Set of 2). 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,,,,3,"End-Plates for 6-bulb SunPower, Set of 2 by ATI",ATI End-Plates for 6-bulb SunPower. 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,2,1,,,,,,,18.95,25.95,25.95,,,,,,,,,,,,,,,,,,0.2,"ATI SunPower, ATI Dimmable SunPower",25.95,,
ATI3220,base,default,,ATI,ATI,simple,,,None,Default,,,,,"End-Plates for 8-bulb SunPower, Set of 2",8-bulb Fixture,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,ATI Endplates for 8-Bulb SunPower (Set of 2). 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,,,,4,"End-Plates for 8-bulb SunPower, Set of 2 by ATI",ATI End-Plates for 8-bulb SunPower. 2-piece set to replace both ends of fixture. Compatible with ATI SunPower and ATI Dimmable SunPower.,2,1,,,,,,,26.95,35.95,35.95,,,,,,,,,,,,,,,,,,0.3,"ATI SunPower, ATI Dimmable SunPower",35.95,,
ATI-COOLINGFAN,base,default,,ATI,ATI,grouped,,,None,Default,,,"123,127,47,51",,Cooling Fan for SunPower,,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,Complete with fan guard and wire leads. Available in standard and large sizes. Compatible with ATI SunPower and ATI Dimmable SunPower.,ATI SunPower Cooling Fan complete with fan guard. Compatible with ATI SunPower and ATI Dimmable SunPower.,,,,,Cooling Fan for SunPower by ATI,ATI Cooling Fan for SunPower,0,1,,,,,,,,,,,,,"ATI3221,ATI3223",,,,,,,,,,,,,,,,,,
ATI3221,base,default,,ATI,ATI,simple,,,None,Default,,,,,"Cooling Fan for SunPower, Standard, 3.0"" x 3.0""","Standard, 3.0"" x 3.0""",/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,3,3,0.5,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI SunPower Cooling Fan - Standard (3.0"" x 3.0"") complete with fan guard. Compatible with ATI SunPower and ATI Dimmable SunPower.",,,,31,"Cooling Fan for SunPower, Standard, 3.0"" x 3.0"" by ATI","ATI Cooling Fan for SunPower, Standard, 3.0"" x 3.0""",2,1,,,,,,,8.95,14.95,14.95,,,,,,,,,,,,,,,,,,0.2,"ATI SunPower, ATI Dimmable SunPower",,,
ATI3223,base,default,,ATI,ATI,simple,,,None,Default,,,,,"Cooling Fan for SunPower, Large, 3.4"" x 3.4""","Large, 3.4"" x 3.4""",/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,3.4,3.4,0.5,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI SunPower Cooling Fan - Large (3.4"" x 3.4"") complete with fan guard. Compatible with some models of 8x54W &amp; 8x80W ATI SunPower and 8x54W &amp; 8x80W ATI Dimmable SunPower only. Please measure to confirm size.",,,,12,"Cooling Fan for SunPower, Large, 3.4"" x 3.4"" by ATI","ATI Cooling Fan for SunPower, Large, 3.4"" x 3.4""",2,1,,,,,,,8.95,14.95,14.95,,,,,,,,,,,,,,,,,,0.3,"ATI SunPower, ATI Dimmable SunPower",,,
ATI-DSP,base,default,,ATI,ATI,grouped,,,None,Default,,,"115,120,121,43,44,45",,Dimmable SunPower T5 High-Output Fixture w/ Controller,,/ati/ati_fixture_dimmable_SunPower_controller.jpg,/ati/ati_fixture_dimmable_SunPower_controller.jpg,/ati/ati_fixture_dimmable_SunPower_controller.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,"Adds full, integrated dimming control to the proven performance of the original SunPower. Offers an unmatched combination of output and control.","ATI Dimmable SunPower T5 High-Output Fixture w/ Controller<br /><br />The ATI Dimmable SunPower T5 High-Output Fixture w/ Built-in Controller is the latest evolution in T5 technology adding full, integrated dimming control to the proven performance of the original SunPower. Compared to other lighting systems with dimming control, the ATI Dimmable SunPower offers an unmatched combination of output and control at an affordable price-point.<br /><br /><strong>Fixture Includes:</strong><br />- Built-in controller.<br />- Individual parabolic-style reflectors made from silver-coated 98% reflective aluminum.<br />- Active cooling system.<br />- Built-in electronic ballasts.<br />- Acrylic shield.<br />- 6-foot power-cord.<br />- Sleek, adjustable &lsquo;Grip-Lock&rsquo; style hanging kit.<br /><br /><strong>Product Features:</strong><br />- Built-in controller with LCD screen and push button interface.<br />- Active cooling system with thermostatically controlled fans.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Common Sizing Guideline: dependent on fixture size.<br />- Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals.<br />- Power Consumption: approximately 96 Watts.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Product Highlights:</strong><br /><u>1. Superior Lighting Control:</u> With 10 individual set-points, the built-in controller produces much more realistic dawn-dusk and daylight simulations than non-dimmable fixtures.<br /><u>2. Unbeatable Performance:</u> Superior design and high-end components produce 50% more light than most other equally-sized T5 fixtures. An active cooling system allows bulbs to run at a more optimal temperature, improving both bulb output and bulb life.<br /><u>3. Plug &amp; Play:</u> With the built-in controller there is nothing more to buy.<br /><u>4. Clean, Contemporary Design:</u> The slim, silver colored body is lightweight, durable, rust-proof and just 2.1&rdquo; high. All components including the controller and T5 ballasts are built into the fixture housing with the only item external to the fixture being a single power-cord.<br /><u>5. Energy Efficient:</u> Produces up to 50% more light than most other equally sized T5 fixtures, without using more energy.<br /><u>6. Quiet, Cool Operation:</u> Runs cool and produces virtually no noise.<br /><br /><strong>Why T5&rsquo;s:</strong><br /><u>1. Tried and True Method:</u> T5&rsquo;s are a proven method for growing all types of coral including sps corals and clams.<br /><u>2. More Vibrant Colors:</u> Compared to other lighting options T5 bulbs come in a wide variety of unique color spectrums which offers greater flexibility and more options for enhancing each corals unique color. And with T5 bulbs costing about $20 each, it&rsquo;s inexpensive to &ldquo;play&rdquo; with different color combinations.<br /><u>3. Superior Light Balance:</u> T5's are a linear source of light, not a point source of light so corals don't have a particular point to grow towards.&nbsp;This produces&nbsp;corals that are typically&nbsp;much fuller than corals grown under point sources of light like metal halides or LED&rsquo;s.<br /><u>4. Save Money:</u> With a lower up-front cost than high-end metal halide and LED systems and the low cost of bulb replacements, a T5 system is typically cheaper to purchase and operate than a comparable metal halide set-up and typically on PAR with a comparable LED system.",,,,,Dimmable SunPower T5 High-Output Fixture w/ Controller by ATI,"The ATI Dimmable SunPower T5 Fixture w/ Built-in Controller is the latest evolution in T5 technology adding full, integrated dimming control to the proven performance of the original SunPower. Compared to other lighting systems with dimming control, this fixture offers an unmatched combination of output and control.",0,1,,,,,,,,,,,,,"ATI3301,ATI3303,ATI3305,ATI3307,ATI3309,ATI3311,ATI3313,ATI3315,ATI3317",,,,,,,,,,,ATIFIXTURES,,,,,,,
ATI3301,base,default,,ATI,ATI,simple,,,None,Default,,,,,"24"" 4x24W Dimmable SunPower T5 High-Output Fixture w/ Controller","24"" 4x24W",/ati/ati_fixture_dimmable_SunPower_controller.jpg,/ati/ati_fixture_dimmable_SunPower_controller.jpg,/ati/ati_fixture_dimmable_SunPower_controller.jpg,Block after Info Column,Enabled,No,,14,23.1,9.4,2.1,28,18,8,20-50 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 24&quot; 4x24W Dimmable SunPower T5 High-Output Fixture w/ Controller<br /><br />The ATI Dimmable SunPower T5 High-Output Fixture w/ Built-in Controller is the latest evolution in T5 technology adding full, integrated dimming control to the proven performance of the original SunPower. Compared to other lighting systems with dimming control, the ATI Dimmable SunPower offers an unmatched combination of output and control at an affordable price-point.<br /><br /><strong>Fixture Includes:</strong><br />- Built-in controller.<br />- Individual parabolic-style reflectors made from silver-coated 98% reflective aluminum.<br />- Active cooling system.<br />- Built-in electronic ballasts.<br />- Acrylic shield.<br />- 6-foot power-cord.<br />- Sleek, adjustable &lsquo;Grip-Lock&rsquo; style hanging kit.<br /><br /><strong>Product Features:</strong><br />- Built-in controller with LCD screen and push button interface.<br />- Active cooling system with thermostatically controlled fans.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Common Sizing Guideline: soft coral tanks up to 50 gallons, mixed reef tanks up to 40 gallons and SPS dominated tanks up to 30 gallons.<br />- Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals.<br />- Power Consumption: approximately 96 Watts.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Product Highlights:</strong><br /><u>1. Superior Lighting Control:</u> With 10 individual set-points, the built-in controller produces much more realistic dawn-dusk and daylight simulations than non-dimmable fixtures.<br /><u>2. Unbeatable Performance:</u> Superior design and high-end components produce 50% more light than most other equally-sized T5 fixtures. An active cooling system allows bulbs to run at a more optimal temperature, improving both bulb output and bulb life.<br /><u>3. Plug &amp; Play:</u> With the built-in controller there is nothing more to buy.<br /><u>4. Clean, Contemporary Design:</u> The slim, silver colored body is lightweight, durable, rust-proof and just 2.1&rdquo; high. All components including the controller and T5 ballasts are built into the fixture housing with the only item external to the fixture being a single power-cord.<br /><u>5. Energy Efficient:</u> Produces up to 50% more light than most other equally sized T5 fixtures, without using more energy.<br /><u>6. Quiet, Cool Operation:</u> Runs cool and produces virtually no noise.<br /><br /><strong>Why T5&rsquo;s:</strong><br /><u>1. Tried and True Method:</u> T5&rsquo;s are a proven method for growing all types of coral including sps corals and clams.<br /><u>2. More Vibrant Colors:</u> Compared to other lighting options T5 bulbs come in a wide variety of unique color spectrums which offers greater flexibility and more options for enhancing each corals unique color. And with T5 bulbs costing about $20 each, it&rsquo;s inexpensive to &ldquo;play&rdquo; with different color combinations.<br /><u>3. Superior Light Balance:</u> T5's are a linear source of light, not a point source of light so corals don't have a particular point to grow towards.&nbsp;This produces&nbsp;corals that are typically&nbsp;much fuller than corals grown under point sources of light like metal halides or LED&rsquo;s.<br /><u>4. Save Money:</u> With a lower up-front cost than high-end metal halide and LED systems and the low cost of bulb replacements, a T5 system is typically cheaper to purchase and operate than a comparable metal halide set-up and typically on PAR with a comparable LED system.",,,,0,"24"" 4x24W Dimmable SunPower T5 High-Output Fixture w/ Controller by ATI","The ATI Dimmable SunPower T5 Fixture w/ Built-in Controller is the latest evolution in T5 technology adding full, integrated dimming control to the proven performance of the original SunPower. Compared to other lighting systems with dimming control, this fixture offers an unmatched combination of output and control.",3,1,,,,,,,349.95,469.95,469.95,,,,,3,340.95,,,,,,,,,ATIFIXTURES,,,13,,469.95,,
ATI3303,base,default,,ATI,ATI,simple,,,None,Default,,,,,"24"" 6x24W Dimmable SunPower T5 High-Output Fixture w/ Controller","24"" 6x24W",/ati/ati_fixture_dimmable_SunPower_controller.jpg,/ati/ati_fixture_dimmable_SunPower_controller.jpg,/ati/ati_fixture_dimmable_SunPower_controller.jpg,Block after Info Column,Enabled,No,,17,23.1,13.4,2.1,28,18,8,30-70 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 24&quot; 6x24W Dimmable SunPower T5 High-Output Fixture w/ Controller<br /><br />The ATI Dimmable SunPower T5 High-Output Fixture w/ Built-in Controller is the latest evolution in T5 technology adding full, integrated dimming control to the proven performance of the original SunPower. Compared to other lighting systems with dimming control, the ATI Dimmable SunPower offers an unmatched combination of output and control at an affordable price-point.<br /><br /><strong>Fixture Includes:</strong><br />- Built-in controller.<br />- Individual parabolic-style reflectors made from silver-coated 98% reflective aluminum.<br />- Active cooling system.<br />- Built-in electronic ballasts.<br />- Acrylic shield.<br />- 6-foot power-cord.<br />- Sleek, adjustable &lsquo;Grip-Lock&rsquo; style hanging kit.<br /><br /><strong>Product Features:</strong><br />- Built-in controller with LCD screen and push button interface.<br />- Active cooling system with thermostatically controlled fans.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Common Sizing Guideline: soft coral tanks up to 70 gallons, mixed reef tanks up to 60 gallons and SPS dominated tanks up to 50 gallons.<br />- Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals.<br />- Power Consumption: approximately 144 Watts.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Product Highlights:</strong><br /><u>1. Superior Lighting Control:</u> With 10 individual set-points, the built-in controller produces much more realistic dawn-dusk and daylight simulations than non-dimmable fixtures.<br /><u>2. Unbeatable Performance:</u> Superior design and high-end components produce 50% more light than most other equally-sized T5 fixtures. An active cooling system allows bulbs to run at a more optimal temperature, improving both bulb output and bulb life.<br /><u>3. Plug &amp; Play:</u> With the built-in controller there is nothing more to buy.<br /><u>4. Clean, Contemporary Design:</u> The slim, silver colored body is lightweight, durable, rust-proof and just 2.1&rdquo; high. All components including the controller and T5 ballasts are built into the fixture housing with the only item external to the fixture being a single power-cord.<br /><u>5. Energy Efficient:</u> Produces up to 50% more light than most other equally sized T5 fixtures, without using more energy.<br /><u>6. Quiet, Cool Operation:</u> Runs cool and produces virtually no noise.<br /><br /><strong>Why T5&rsquo;s:</strong><br /><u>1. Tried and True Method:</u> T5&rsquo;s are a proven method for growing all types of coral including sps corals and clams.<br /><u>2. More Vibrant Colors:</u> Compared to other lighting options T5 bulbs come in a wide variety of unique color spectrums which offers greater flexibility and more options for enhancing each corals unique color. And with T5 bulbs costing about $20 each, it&rsquo;s inexpensive to &ldquo;play&rdquo; with different color combinations.<br /><u>3. Superior Light Balance:</u> T5's are a linear source of light, not a point source of light so corals don't have a particular point to grow towards.&nbsp;This produces&nbsp;corals that are typically&nbsp;much fuller than corals grown under point sources of light like metal halides or LED&rsquo;s.<br /><u>4. Save Money:</u> With a lower up-front cost than high-end metal halide and LED systems and the low cost of bulb replacements, a T5 system is typically cheaper to purchase and operate than a comparable metal halide set-up and typically on PAR with a comparable LED system.",,,,9,"24"" 6x24W Dimmable SunPower T5 High-Output Fixture w/ Controller by ATI","The ATI Dimmable SunPower T5 Fixture w/ Built-in Controller is the latest evolution in T5 technology adding full, integrated dimming control to the proven performance of the original SunPower. Compared to other lighting systems with dimming control, this fixture offers an unmatched combination of output and control.",3,1,,,,,,,394.95,529.95,529.95,,,,,3,384.95,,,,,,,,,ATIFIXTURES,,,16,,529.95,,
